"QTR","CLAIM_TYPE","BRAND","PAYER","METRIC","VALUE"
"2024Q4","NBRX","Abbvie","Commercial","RV_RATE",0.08505
"2024Q4","NBRX","Abbvie","Commercial","WD",85279
"2024Q4","NBRX","Abbvie","Commercial","WD_MARKET_SHARE",0.546482
"2024Q4","NBRX","Abbvie","Medicaid","FILL_RATE",0.419284
"2024Q4","NBRX","Abbvie","Medicaid","PD_CLAIMS",8371
"2024Q4","NBRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.492267
"2024Q4","NBRX","Abbvie","Medicaid","RJ_RATE",0.532883
"2024Q4","NBRX","Abbvie","Medicaid","RV_RATE",0.047834
"2024Q4","NBRX","Abbvie","Medicaid","WD",19965
"2024Q4","NBRX","Abbvie","Medicaid","WD_MARKET_SHARE",0.509467
"2024Q4","NBRX","Abbvie","Medicare","FILL_RATE",0.427849
"2024Q4","NBRX","Abbvie","Medicare","PD_CLAIMS",9473
"2024Q4","NBRX","Abbvie","Medicare","PD_MARKET_SHARE",0.580418
"2024Q4","NBRX","Abbvie","Medicare","RJ_RATE",0.395375
"2024Q4","NBRX","Abbvie","Medicare","RV_RATE",0.176776
"2024Q4","NBRX","Abbvie","Medicare","WD",22141
"2024Q4","NBRX","Abbvie","Medicare","WD_MARKET_SHARE",0.55419
"2024Q4","NBRX","Abbvie","Others","FILL_RATE",0.383285
"2024Q4","NBRX","Abbvie","Others","PD_CLAIMS",5609
"2024Q4","NBRX","Abbvie","Others","PD_MARKET_SHARE",0.648589
"2024Q4","NBRX","Abbvie","Others","RJ_RATE",0.325407
"2024Q4","NBRX","Abbvie","Others","RV_RATE",0.291308
"2024Q4","NBRX","Abbvie","Others","WD",14634
"2024Q4","NBRX","Abbvie","Others","WD_MARKET_SHARE",0.522662
"2024Q4","NBRX","Abbvie","Overall","FILL_RATE",0.567663
"2024Q4","NBRX","Abbvie","Overall","PD_CLAIMS",80619
"2024Q4","NBRX","Abbvie","Overall","PD_MARKET_SHARE",0.596312
"2024Q4","NBRX","Abbvie","Overall","RJ_RATE",0.316965
"2024Q4","NBRX","Abbvie","Overall","RV_RATE",0.115372
"2024Q4","NBRX","Abbvie","Overall","WD",142019
"2024Q4","NBRX","Abbvie","Overall","WD_MARKET_SHARE",0.539606
"2024Q4","NBRX","Nurtec","Commercial","FILL_RATE",0.509467
"2024Q4","NBRX","Nurtec","Commercial","PD_CLAIMS",36056
"2024Q4","NBRX","Nurtec","Commercial","PD_MARKET_SHARE",0.386776
"2024Q4","NBRX","Nurtec","Commercial","RJ_RATE",0.425945
"2024Q4","NBRX","Nurtec","Commercial","RV_RATE",0.064588
"2024Q4","NBRX","Nurtec","Commercial","WD",70772
"2024Q4","NBRX","Nurtec","Commercial","WD_MARKET_SHARE",0.453518
"2024Q4","NBRX","Nurtec","Medicaid","FILL_RATE",0.449149
"2024Q4","NBRX","Nurtec","Medicaid","PD_CLAIMS",8634
"2024Q4","NBRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.507733
"2024Q4","NBRX","Nurtec","Medicaid","RJ_RATE",0.499818
"2024Q4","NBRX","Nurtec","Medicaid","RV_RATE",0.051033
"2024Q4","NBRX","Nurtec","Medicaid","WD",19223
"2024Q4","NBRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.490533
"2024Q4","NBRX","Nurtec","Medicare","FILL_RATE",0.384482
"2024Q4","NBRX","Nurtec","Medicare","PD_CLAIMS",6848
"2024Q4","NBRX","Nurtec","Medicare","PD_MARKET_SHARE",0.419582
"2024Q4","NBRX","Nurtec","Medicare","RJ_RATE",0.439335
"2024Q4","NBRX","Nurtec","Medicare","RV_RATE",0.176183
"2024Q4","NBRX","Nurtec","Medicare","WD",17811
"2024Q4","NBRX","Nurtec","Medicare","WD_MARKET_SHARE",0.44581
"2024Q4","NBRX","Nurtec","Others","FILL_RATE",0.227385
"2024Q4","NBRX","Nurtec","Others","PD_CLAIMS",3039
"2024Q4","NBRX","Nurtec","Others","PD_MARKET_SHARE",0.351411
"2024Q4","NBRX","Nurtec","Others","RJ_RATE",0.410026
"2024Q4","NBRX","Nurtec","Others","RV_RATE",0.362589
"2024Q4","NBRX","Nurtec","Others","WD",13365
"2024Q4","NBRX","Nurtec","Others","WD_MARKET_SHARE",0.477338
"2024Q4","NBRX","Nurtec","Overall","FILL_RATE",0.450413
"2024Q4","NBRX","Nurtec","Overall","PD_CLAIMS",54577
"2024Q4","NBRX","Nurtec","Overall","PD_MARKET_SHARE",0.403688
"2024Q4","NBRX","Nurtec","Overall","RJ_RATE",0.437877
"2024Q4","NBRX","Nurtec","Overall","RV_RATE",0.11171
"2024Q4","NBRX","Nurtec","Overall","WD",121171
"2024Q4","NBRX","Nurtec","Overall","WD_MARKET_SHARE",0.460394
"2024Q1","TRX","Abbvie","Others","WD",48245
"2024Q1","TRX","Abbvie","Others","WD_MARKET_SHARE",0.555844
"2024Q1","TRX","Abbvie","Overall","FILL_RATE",0.755743
"2024Q1","TRX","Abbvie","Overall","PD_CLAIMS",497558
"2024Q1","TRX","Abbvie","Overall","PD_MARKET_SHARE",0.55388
"2024Q1","TRX","Abbvie","Overall","RJ_RATE",0.158127
"2024Q1","TRX","Abbvie","Overall","RV_RATE",0.08613
"2024Q1","TRX","Abbvie","Overall","WD",658369
"2024Q1","TRX","Abbvie","Overall","WD_MARKET_SHARE",0.54225
"2024Q1","TRX","Nurtec","Commercial","FILL_RATE",0.747069
"2024Q1","TRX","Nurtec","Commercial","PD_CLAIMS",264596
"2024Q1","TRX","Nurtec","Commercial","PD_MARKET_SHARE",0.431032
"2024Q1","TRX","Nurtec","Commercial","RJ_RATE",0.177998
"2024Q1","TRX","Nurtec","Commercial","RV_RATE",0.074934
"2024Q1","TRX","Nurtec","Commercial","WD",354179
"2024Q1","TRX","Nurtec","Commercial","WD_MARKET_SHARE",0.444127
"2024Q1","TRX","Nurtec","Medicaid","FILL_RATE",0.73006
