"DATE","PRODUCT_NAME","METRIC","METRIC_VALUE"
"2024-03-01","NURTEC","NRx",94276
"2024-03-01","QULIPTA","NRx",42839
"2024-03-01","UBRELVY","NRx",75130
"2024-03-01","ZAVZPRET","NRx",2410
"2024-03-01","OVERALL","OCGRP_NRx",212245
"2024-03-01","OVERALL","OCGRP_TRx",518995
"2024-03-01","NURTEC","TRx",232239
"2024-03-01","QULIPTA","TRx",112639
"2024-03-01","UBRELVY","TRx",174117
"2024-03-01","ZAVZPRET","TRx",4120
"2024-02-01","NURTEC","NRx",86709
"2024-02-01","QULIPTA","NRx",39995
"2024-02-01","UBRELVY","NRx",68868
"2024-02-01","ZAVZPRET","NRx",2339
"2024-02-01","OVERALL","OCGRP_NRx",195572
"2024-02-01","OVERALL","OCGRP_TRx",479019
"2024-02-01","NURTEC","TRx",215015
"2024-02-01","QULIPTA","TRx",104062
"2024-02-01","UBRELVY","TRx",159942
"2024-02-01","ZAVZPRET","TRx",3913
"2024-01-01","NURTEC","NRx",90365
"2024-01-01","QULIPTA","NRx",39110
"2024-01-01","UBRELVY","NRx",70166
"2024-01-01","ZAVZPRET","NRx",1689
"2024-01-01","OVERALL","OCGRP_NRx",199641
"2024-01-01","OVERALL","OCGRP_TRx",505217
"2024-01-01","NURTEC","TRx",229582
"2024-01-01","QULIPTA","TRx",106227
"2024-01-01","UBRELVY","TRx",169408
"2024-01-01","ZAVZPRET","TRx",3236
"2023-12-01","NURTEC","NRx",90147
"2023-12-01","QULIPTA","NRx",36085
"2023-12-01","UBRELVY","NRx",67293
"2023-12-01","ZAVZPRET","NRx",1840
"2023-12-01","OVERALL","OCGRP_NRx",193525
"2023-12-01","OVERALL","OCGRP_TRx",515177
"2023-12-01","NURTEC","TRx",240886
"2023-12-01","QULIPTA","TRx",101548
"2023-12-01","UBRELVY","TRx",172743
"2023-12-01","ZAVZPRET","TRx",3586
"2023-11-01","NURTEC","NRx",86038
"2023-11-01","QULIPTA","NRx",35574
"2023-11-01","UBRELVY","NRx",65864
"2023-11-01","ZAVZPRET","NRx",1822
"2023-11-01","OVERALL","OCGRP_NRx",187476
"2023-11-01","OVERALL","OCGRP_TRx",488879
"2023-11-01","NURTEC","TRx",227183
"2023-11-01","QULIPTA","TRx",97890
"2023-11-01","UBRELVY","TRx",163806
"2023-11-01","ZAVZPRET","TRx",3137
"2023-10-01","NURTEC","NRx",87314
"2023-10-01","QULIPTA","NRx",35670
"2023-10-01","UBRELVY","NRx",68549
"2023-10-01","ZAVZPRET","NRx",2022
"2023-10-01","OVERALL","OCGRP_NRx",191533
"2023-10-01","OVERALL","OCGRP_TRx",489904
"2023-10-01","NURTEC","TRx",227084
"2023-10-01","QULIPTA","TRx",96501
"2023-10-01","UBRELVY","TRx",166319
"2023-10-01","ZAVZPRET","TRx",3187
"2023-09-01","NURTEC","NRx",79877
"2023-09-01","QULIPTA","NRx",32412
"2023-09-01","UBRELVY","NRx",62486
"2023-09-01","ZAVZPRET","NRx",1761
"2023-09-01","OVERALL","OCGRP_NRx",174775
"2023-09-01","OVERALL","OCGRP_TRx",445758
"2023-09-01","NURTEC","TRx",205680
"2023-09-01","QULIPTA","TRx",86694
"2023-09-01","UBRELVY","TRx",153384
"2023-09-01","ZAVZPRET","TRx",2566
"2023-08-01","NURTEC","NRx",85756
"2023-08-01","QULIPTA","NRx",34855
"2023-08-01","UBRELVY","NRx",67710
"2023-08-01","ZAVZPRET","NRx",1893
"2023-08-01","OVERALL","OCGRP_NRx",188321
"2023-08-01","OVERALL","OCGRP_TRx",473032
"2023-08-01","NURTEC","TRx",219734
"2023-08-01","QULIPTA","TRx",90136
"2023-08-01","UBRELVY","TRx",163162
"2023-08-01","ZAVZPRET","TRx",2113
"2023-07-01","NURTEC","NRx",75901
"2023-07-01","QULIPTA","NRx",29692
"2023-07-01","UBRELVY","NRx",59774
"2023-07-01","ZAVZPRET","NRx",944
"2023-07-01","OVERALL","OCGRP_NRx",165367
"2023-07-01","OVERALL","OCGRP_TRx",430609
"2023-07-01","NURTEC","TRx",201314
"2023-07-01","QULIPTA","TRx",80477
"2023-07-01","UBRELVY","TRx",148818
"2023-07-01","ZAVZPRET","TRx",948
"2023-06-01","NURTEC","NRx",80292
"2023-06-01","QULIPTA","NRx",30707
"2023-06-01","UBRELVY","NRx",64226
"2023-06-01","ZAVZPRET","NRx",4
"2023-06-01","OVERALL","OCGRP_NRx",175225
"2023-06-01","OVERALL","OCGRP_TRx",440927
"2023-06-01","NURTEC","TRx",206310
"2023-06-01","QULIPTA","TRx",80996
"2023-06-01","UBRELVY","TRx",153621
"2023-06-01","ZAVZPRET","TRx",4
"2023-05-01","NURTEC","NRx",76526
"2023-05-01","QULIPTA","NRx",29981
"2023-05-01","UBRELVY","NRx",63117
"2023-05-01","OVERALL","OCGRP_NRx",169624
"2023-05-01","OVERALL","OCGRP_TRx",430540
"2023-05-01","NURTEC","TRx",202294
"2023-05-01","QULIPTA","TRx",77958
"2023-05-01","UBRELVY","TRx",150288
"2023-04-01","NURTEC","NRx",74404
"2023-04-01","QULIPTA","NRx",26102
"2023-04-01","UBRELVY","NRx",59651
"2023-04-01","OVERALL","OCGRP_NRx",160157
"2023-04-01","OVERALL","OCGRP_TRx",396017
"2023-04-01","NURTEC","TRx",187313
"2023-04-01","QULIPTA","TRx",70343
"2023-04-01","UBRELVY","TRx",138361
"2023-03-01","NURTEC","NRx",79924
"2023-03-01","QULIPTA","NRx",28448
"2023-03-01","UBRELVY","NRx",65714
"2023-03-01","OVERALL","OCGRP_NRx",174086
"2023-03-01","OVERALL","OCGRP_TRx",420210
"2026-06-01","NURTEC","NRx",129357
"2026-06-01","QULIPTA","NRx",68967
"2026-06-01","UBRELVY","NRx",100262
"2026-06-01","ZAVZPRET","NRx",3545
"2026-06-01","OVERALL","OCGRP_NRx",298586
"2026-05-01","NURTEC","NRx",125016
"2026-05-01","QULIPTA","NRx",66695
"2026-05-01","UBRELVY","NRx",96157
"2026-05-01","ZAVZPRET","NRx",3367
"2026-05-01","OVERALL","OCGRP_NRx",287868
"2026-05-01","OVERALL","OCGRP_TRx",745456
"2026-05-01","NURTEC","TRx",324047
"2026-05-01","QULIPTA","TRx",185906
"2026-05-01","UBRELVY","TRx",235503
"2026-05-01","ZAVZPRET","TRx",6643
"2026-04-01","NURTEC","NRx",124081
"2026-04-01","QULIPTA","NRx",67570
"2026-04-01","UBRELVY","NRx",97087
"2026-04-01","ZAVZPRET","NRx",3434
"2026-04-01","OVERALL","OCGRP_NRx",288738
"2026-04-01","OVERALL","OCGRP_TRx",730266
"2026-04-01","NURTEC","TRx",315528
"2026-04-01","QULIPTA","TRx",183066
"2026-04-01","UBRELVY","TRx",231672
"2026-04-01","ZAVZPRET","TRx",6507
"2026-03-01","NURTEC","NRx",128626
"2026-03-01","QULIPTA","NRx",68468
